"","partition","cluster","Freq","cellsubset","celltype","cellgroup","landmark","cellsubset.F","quality"
"20","20","1",76,"NK_1","NK","Lymphoid","mNK","NK_1","good"
"122","37","10",86,"ncMo_1","Mo","Myeloid","ncMo_1","ncMo_1","good"
"296","41","101",70,"Baso_2","Granulocytes","Myeloid","Myeloid","Myeloid_4","good"
"375","35","102",90,"cMo_1","Mo","Myeloid","cMo_1","cMo_1","good"
"460","35","103",91,"cMo_1","Mo","Myeloid","cMo_1","cMo_1","good"
"545","35","104",97,"cMo_1","Mo","Myeloid","cMo_1","cMo_1","good"
"630","35","105",51,"cMo_1","Mo","Myeloid","cMo_1","cMo_1","good"
"686","6","106",97,"NaiveCD8T_1","CD8T","Lymphoid","TEMRA.CD8T","NaiveCD8T_1","good"
"770","5","107",74,"MemCD8T_1","NKT","Lymphoid","NKT","NKT","good"
"855","5","108",87,"MemCD8T_1","NKT","Lymphoid","NKT","NKT","good"
"940","5","109",98,"MemCD8T_1","NKT","Lymphoid","NKT","NKT","good"
"1058","38","11",75,"ncMo_2","Mo","Myeloid","ncMo_2","ncMo_2","good"
"1107","2","110",86,"NKT_1","gdT","Lymphoid","gdT","gdT","good"
"1197","7","111",64,"gdT_2","gdT","Lymphoid","gdT_2","gdT_2","good"
"1277","2","112",55,"NKT_1","DN","Lymphoid","DN","DN","good"
"1446","1","114",94,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"1542","12","115",68,"MemCD4T_2","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"1735","35","117",88,"cMo_1","Mo","Myeloid","cMo_1","cMo_1","good"
"1825","40","118",64,"iMo_1","Mo","Myeloid","iMo_1","iMo_1","good"
"1905","35","119",57,"cMo_1","Mo","Myeloid","cMo_1","cMo_1","good"
"1995","40","12",70,"iMo_1","Mo","Myeloid","iMo_1","iMo_1","good"
"2076","36","120",57,"cMo_2","Mo","Myeloid","cMo_2","cMo_2","good"
"2131","6","121",98,"NaiveCD8T_1","CD8T","Lymphoid","TEMRA.CD8T","NaiveCD8T_1","good"
"2215","5","122",63,"MemCD8T_1","CD8T","Lymphoid","TEMRA.CD8T","MemCD8T_1","good"
"2300","5","123",94,"MemCD8T_1","NKT","Lymphoid","NKT","NKT","good"
"2385","5","124",97,"MemCD8T_1","NKT","Lymphoid","NKT","NKT","good"
"2467","2","125",69,"NKT_1","OtherLymphocytes","Lymphoid","NKT_1","NKT_1","good"
"2561","11","126",93,"NKT_3","OtherLymphocytes","Lymphoid","NKT_3","NKT_3","good"
"2636","1","127",96,"MemCD4T_1","CD4T","Lymphoid","TEM.CD4T","TEM.CD4T","good"
"2721","1","128",98,"MemCD4T_1","CD4T","Lymphoid","TEM.CD4T","TEM.CD4T","good"
"2806","1","129",99,"MemCD4T_1","CD4T","Lymphoid","TEM.CD4T","TEM.CD4T","good"
"2925","35","13",93,"cMo_1","Mo","Myeloid","cMo_1","cMo_1","good"
"2976","1","130",84,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"3072","12","131",79,"MemCD4T_2","CD4T","Lymphoid","Treg","Treg","good"
"3146","1","132",56,"MemCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"3350","35","134",65,"cMo_1","Mo","Myeloid","cMo_1","cMo_1","good"
"3417","17","135",65,"unknown_1","Myeloid","Myeloid","CD68.Myeloid","CD68.Myeloid","good"
"3490","5","136",95,"MemCD8T_1","CD8T","Lymphoid","TEM.CD8T","MemCD8T_1","good"
"3575","5","137",98,"MemCD8T_1","CD8T","Lymphoid","TEM.CD8T","MemCD8T_1","good"
"3660","5","138",99,"MemCD8T_1","CD8T","Lymphoid","TCM.CD8T","MemCD8T_1","good"
"3745","5","139",98,"MemCD8T_1","CD8T","Lymphoid","TEM.CD8T","MemCD8T_1","good"
"3860","35","14",73,"cMo_1","Mo","Myeloid","cMo_1","cMo_1","good"
"3915","5","140",73,"MemCD8T_1","CD8T","Lymphoid","TEM.CD8T","MemCD8T_1","good"
"3996","1","141",98,"MemCD4T_1","CD4T","Lymphoid","TEM.CD4T","TEM.CD4T","good"
"4081","1","142",98,"MemCD4T_1","CD4T","Lymphoid","TEM.CD4T","TEM.CD4T","good"
"4166","1","143",63,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"4251","1","144",97,"MemCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"4336","1","145",88,"MemCD4T_1","CD4T","Lymphoid","Treg","Treg","good"
"4421","1","146",97,"MemCD4T_1","CD4T","Lymphoid","Treg","Treg","good"
"4506","1","147",99,"MemCD4T_1","CD4T","Lymphoid","Treg","Treg","good"
"4599","9","148",94,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"4692","17","149",57,"unknown_1","Myeloid","Myeloid","CD64.Myeloid","CD64.Myeloid","Unclear_Cell_Type"
"4795","35","15",73,"cMo_1","Mo","Myeloid","cMo_1","cMo_1","good"
"4864","19","150",61,"Neutro_2","Granulocytes","Myeloid","Neutro_2","Neutro_2","good"
"4935","5","151",98,"MemCD8T_1","CD8T","Lymphoid","TEM.CD8T","MemCD8T_1","good"
"5020","5","152",97,"MemCD8T_1","CD8T","Lymphoid","TEM.CD8T","MemCD8T_1","good"
"5105","5","153",96,"MemCD8T_1","CD8T","Lymphoid","TEM.CD8T","MemCD8T_1","good"
"5190","5","154",97,"MemCD8T_1","CD8T","Lymphoid","TEM.CD8T","MemCD8T_1","good"
"5275","5","155",93,"MemCD8T_1","X.Cell.Type","Lymphoid","X.TEM","X.TEM","X"
"5356","1","156",100,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"5441","1","157",100,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"5526","1","158",99,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"5611","1","159",90,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"5717","22","16",78,"NK_3","NK","Lymphoid","mNK","NK_3","good"
"5781","1","160",96,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"5866","1","161",97,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"5951","1","162",89,"MemCD4T_1","CD4T","Lymphoid","Treg","Treg","good"
"6044","9","163",65,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"6129","9","164",70,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"6209","4","165",92,"DNT_1","OtherLymphocytes","Lymphoid","DNT_1","DNT_1","good"
"6304","14","166",76,"MemCD8T_2","CD8T","Lymphoid","MemCD8T_2","MemCD8T_2","good"
"6380","5","167",95,"MemCD8T_1","CD8T","Lymphoid","TEM.CD8T","MemCD8T_1","good"
"6465","5","168",96,"MemCD8T_1","CD8T","Lymphoid","TEM.CD8T","MemCD8T_1","good"
"6550","5","169",99,"MemCD8T_1","CD8T","Lymphoid","TCM.CD8T","MemCD8T_1","good"
"6650","20","17",93,"NK_1","NK","Lymphoid","mNK","NK_1","good"
"6720","5","170",89,"MemCD8T_1","X.Cell.Type","Lymphoid","X.TCM","X.TCM","X"
"6801","1","171",99,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"6886","1","172",97,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"6971","1","173",99,"MemCD4T_1","CD4T","Lymphoid","TEM.CD4T","TEM.CD4T","good"
"7056","1","174",98,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"7141","1","175",99,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"7226","1","176",100,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"7311","1","177",69,"MemCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"7404","9","178",95,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"7489","9","179",86,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"7585","20","18",89,"NK_1","NK","Lymphoid","mNK","NK_1","good"
"7659","9","180",73,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"7740","5","181",71,"MemCD8T_1","CD8T","Lymphoid","TEM.CD8T","MemCD8T_1","good"
"7825","5","182",96,"MemCD8T_1","CD8T","Lymphoid","TCM.CD8T","MemCD8T_1","good"
"7911","6","183",87,"NaiveCD8T_1","CD8T","Lymphoid","Naive.CD8T","NaiveCD8T_1","good"
"7996","6","184",73,"NaiveCD8T_1","CD8T","Lymphoid","TEMRA.CD8T","NaiveCD8T_1","good"
"8080","5","185",67,"MemCD8T_1","CD8T","Lymphoid","Naive.CD8T","MemCD8T_1","good"
"8161","1","186",83,"MemCD4T_1","CD4T","Lymphoid","TEMRA.CD4T","TEMRA.CD4T","good"
"8246","1","187",89,"MemCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"8331","1","188",98,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"8416","1","189",97,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"8525","25","19",49,"B_1","B","Lymphoid","NaiveB","NaiveB_1","good"
"8594","9","190",86,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"8679","9","191",59,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"8764","9","192",96,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"8849","9","193",96,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"8934","9","194",91,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"9019","9","195",99,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
"9166","71","196",76,"unknown","Lymphoid","Lymphoid","X.FoxP3.CD8T","X.FoxP3.CD8T","X"
"9186","6","197",99,"NaiveCD8T_1","CD8T","Lymphoid","Naive.CD8T","NaiveCD8T_1","good"
"9271","6","198",100,"NaiveCD8T_1","CD8T","Lymphoid","Naive.CD8T","NaiveCD8T_1","good"
"9356","6","199",100,"NaiveCD8T_1","CD8T","Lymphoid","Naive.CD8T","NaiveCD8T_1","good"
"9457","22","2",86,"NK_3","NK","Lymphoid","mNK","NK_3","good"
"9545","25","20",92,"B_1","B","Lymphoid","NaiveB","NaiveB_1","good"
"9611","6","200",90,"NaiveCD8T_1","CD8T","Lymphoid","Naive.CD8T","NaiveCD8T_1","good"
"9691","1","201",100,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"9776","1","202",98,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"9861","1","203",98,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"9946","1","204",98,"MemCD4T_1","CD4T","Lymphoid","TCM.CD4T","MemCD4T","good"
"10039","9","205",66,"NaiveCD4T_1","CD4T","Lymphoid","Naive.CD4T","Naive.CD4T","good"
