"","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","species_name","kingdom_txid","phylum_txid","class_txid","order_txid","family_txid","genus_txid","species_txid"
"s__Bifidobacterium_adolescentis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium_adolescentis","2","201174","1760","85004","31953","1678","1680"
"s__Bifidobacterium_longum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium_longum","2","201174","1760","85004","31953","1678","216816"
"s__Eggerthella_lenta","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Eggerthella","s__Eggerthella_lenta","2","201174","84998","1643822","1643826","84111","84112"
"s__Subdoligranulum_sp","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Subdoligranulum","s__Subdoligranulum_sp","2","1239","186801","186802","541000","292632","2053618"
"s__Faecalibacterium_prausnitzii","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Faecalibacterium","s__Faecalibacterium_prausnitzii","2","1239","186801","186802","541000","216851","853"
"s__Bifidobacterium_pseudocatenulatum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium_pseudocatenulatum","2","201174","1760","85004","31953","1678","28026"
"s__Alistipes_obesi","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_obesi","2","976","200643","171549","171550","239759","1118061"
"s__Firmicutes_bacterium_CAG_83","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_83","2","1239","","","","","1262992"
"s__Alistipes_putredinis","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_putredinis","2","976","200643","171549","171550","239759","28117"
"s__Asaccharobacter_celatus","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Asaccharobacter","s__Asaccharobacter_celatus","2","201174","84998","1643822","1643826","553372","394340"
"s__Bacteroides_stercoris","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_stercoris","2","976","200643","171549","815","816","46506"
"s__Faecalibacterium_sp_CAG_74","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Faecalibacterium","s__Faecalibacterium_sp_CAG_74","2","1239","186801","186802","541000","216851","1262897"
"s__Firmicutes_bacterium_CAG_103","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_103","2","1239","","","","","1262999"
"s__Anaerostipes_hadrus","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Anaerostipes","s__Anaerostipes_hadrus","2","1239","186801","186802","186803","207244","649756"
"s__Eubacterium_sp_CAG_180","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Eubacterium","s__Eubacterium_sp_CAG_180","2","1239","186801","186802","186806","1730","1262882"
"s__Bacteroides_uniformis","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_uniformis","2","976","200643","171549","815","816","820"
"s__Gordonibacter_pamelaeae","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Gordonibacter","s__Gordonibacter_pamelaeae","2","201174","84998","1643822","1643826","644652","471189"
"s__Clostridium_sp_CAG_440","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_440","2","1239","186801","186802","31979","1485","1262807"
"s__Dialister_sp_CAG_357","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Dialister","s__Dialister_sp_CAG_357","2","1239","909932","1843489","31977","39948","1262869"
"s__Roseburia_faecis","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Roseburia","s__Roseburia_faecis","2","1239","186801","186802","186803","841","301302"
"s__Eubacterium_hallii","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Eubacterium","s__Eubacterium_hallii","2","1239","186801","186802","186806","1730","39488"
"s__Coprococcus_comes","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Coprococcus","s__Coprococcus_comes","2","1239","186801","186802","186803","33042","410072"
"s__Ruminococcus_torques","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Blautia","s__Ruminococcus_torques","2","1239","186801","186802","186803","572511","33039"
"s__Oscillibacter_sp_57_20","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Oscillospiraceae","g__Oscillibacter","s__Oscillibacter_sp_57_20","2","1239","186801","186802","216572","459786","1897011"
"s__Flavonifractor_plautii","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Flavonifractor","s__Flavonifractor_plautii","2","1239","186801","186802","541000","946234","292800"
"s__Lachnospira_pectinoschiza","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnospira","s__Lachnospira_pectinoschiza","2","1239","186801","186802","186803","28050","28052"
